"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區,
2020/2/1,"3,571 ","8,241 ","20,279 ","40,742 ","13,757 ","8,307 ","7,365 ","3,490 ","2,311 ","7,148 ","1,650 ","2,874 ","8,024 ","5,131 ","8,535 ","4,688 ","6,194 ","3,493 ","7,532 ","3,124 ","5,108 ","6,273 ","2,379 ","29,956 ","3,073 ","11,567 ","8,718 ","12,365 ","19,694 ","12,753 ","7,893 ","29,915 ","15,407 ","22,643 ","19,461 ","3,689 ","28,072 ","19,184 ","21,346 ","16,119 ","9,505 ","139,605 ","39,269 ","16,362 ","15,815 ","36,776 ","26,360 ","21,780 ","17,414 ","8,157 ","19,791 ","5,667 ","5,840 ","14,563 ","8,080 ","3,129 ","1,716 ","8,319 ","7,217 ","7,798 ","32,497 ","6,013 ","10,438 ","5,824 ","15,720 ","16,082 ","27,194 ","31,481 ","28,527 ","18,611 ","28,704 ","69,393 ","11,723 ","29,034 ","28,684 ","15,323 ","48,707 ","14,020 ","13,201 ","7,877 ","14,396 ","9,796 ","22,622 ","11,812 ","7,340 ","10,605 ","17,046 ","14,809 ","12,976 ","17,611 ","5,644 ","7,938 ","6,597 ","2,466 ","5,732 ","7,285 ","8,503 ","11,161 ","11,858 ","19,065 ","19,048 ","10,755 ","9,108 ","9,387 ","9,344 ","9,540 ","7,202 ","7,686 ","1,412 ","3,337 ","3,881 ","7,093 ","1,460 ","1,518 ","2,851 ","12,402 ","4,084 ","5,481 ","6,130 ",
2020/2/2,"3,660 ","6,871 ","16,480 ","33,240 ","11,228 ","7,397 ","6,153 ","3,172 ","2,095 ","5,817 ","1,507 ","2,683 ","7,490 ","4,247 ","7,925 ","3,999 ","5,474 ","2,939 ","6,575 ","3,338 ","4,510 ","6,333 ","2,023 ","23,875 ","3,020 ","11,876 ","7,661 ","11,043 ","18,018 ","11,465 ","7,049 ","26,685 ","13,022 ","18,504 ","17,145 ","3,464 ","24,389 ","17,001 ","18,596 ","14,577 ","8,173 ","127,402 ","32,462 ","12,254 ","15,496 ","30,888 ","23,423 ","19,657 ","15,101 ","6,682 ","16,632 ","5,101 ","5,369 ","13,186 ","7,640 ","2,891 ","1,582 ","8,155 ","6,498 ","7,420 ","33,587 ","5,861 ","9,551 ","5,116 ","13,997 ","13,103 ","23,531 ","28,111 ","24,285 ","16,218 ","26,162 ","61,191 ","9,844 ","23,789 ","22,512 ","12,764 ","42,788 ","12,211 ","12,117 ","6,825 ","13,563 ","8,992 ","18,562 ","9,661 ","7,253 ","9,333 ","13,818 ","10,276 ","10,957 ","15,502 ","5,161 ","6,736 ","5,823 ","1,892 ","5,192 ","6,341 ","7,479 ","10,106 ","10,445 ","16,294 ","16,754 ","8,887 ","7,726 ","8,058 ","7,893 ","8,272 ","6,302 ","6,659 ","1,497 ","3,310 ","3,815 ","6,407 ","1,372 ","1,487 ","2,788 ","12,362 ","3,978 ","5,440 ","6,406 ",
2020/2/3,"4,587 ","14,106 ","39,424 ","40,572 ","20,907 ","12,836 ","11,018 ","4,113 ","3,209 ","11,281 ","2,596 ","3,470 ","5,324 ","7,073 ","9,907 ","16,629 ","15,810 ","4,276 ","8,486 ","3,169 ","7,640 ","7,889 ","5,782 ","36,253 ","2,798 ","12,130 ","11,040 ","15,453 ","25,487 ","14,348 ","9,496 ","23,228 ","15,877 ","31,408 ","23,719 ","7,994 ","33,455 ","25,099 ","26,733 ","20,329 ","23,851 ","134,598 ","36,950 ","20,922 ","21,810 ","23,222 ","24,402 ","22,816 ","21,839 ","11,360 ","28,329 ","6,933 ","8,728 ","16,143 ","5,201 ","3,673 ","3,396 ","11,670 ","8,530 ","9,537 ","30,198 ","9,845 ","13,372 ","7,137 ","20,607 ","24,104 ","29,838 ","34,879 ","36,972 ","24,262 ","27,643 ","63,239 ","17,252 ","30,750 ","32,619 ","19,863 ","58,342 ","17,754 ","15,789 ","13,884 ","17,455 ","14,041 ","27,141 ","17,733 ","7,032 ","12,417 ","38,645 ","20,879 ","22,351 ","24,932 ","7,659 ","9,808 ","6,954 ","4,966 ","6,088 ","9,282 ","9,161 ","11,909 ","15,996 ","28,793 ","21,465 ","14,033 ","11,265 ","11,399 ","12,067 ","11,298 ","9,712 ","9,687 ","1,012 ","2,546 ","3,313 ","5,146 ","1,626 ","2,581 ","2,457 ","8,884 ","3,032 ","3,865 ","4,991 ",
2020/2/4,"4,656 ","14,696 ","40,929 ","41,042 ","21,321 ","13,270 ","11,254 ","4,154 ","3,245 ","11,340 ","2,589 ","3,348 ","5,057 ","7,299 ","9,842 ","17,260 ","16,194 ","4,473 ","8,693 ","2,925 ","7,599 ","7,726 ","6,034 ","33,378 ","2,843 ","11,433 ","10,944 ","15,565 ","25,024 ","14,457 ","9,660 ","23,576 ","16,223 ","31,791 ","24,139 ","8,096 ","34,046 ","25,409 ","26,920 ","20,552 ","23,841 ","127,409 ","37,756 ","21,195 ","21,739 ","22,975 ","23,364 ","22,538 ","21,846 ","11,502 ","27,606 ","6,847 ","8,874 ","16,102 ","5,103 ","3,626 ","3,172 ","11,326 ","8,190 ","9,095 ","26,653 ","9,558 ","12,505 ","7,073 ","20,409 ","24,673 ","29,641 ","34,809 ","37,471 ","24,401 ","26,126 ","62,885 ","18,591 ","30,868 ","34,109 ","20,256 ","58,375 ","18,458 ","15,550 ","13,812 ","16,712 ","13,556 ","26,959 ","18,484 ","6,693 ","12,341 ","39,138 ","21,764 ","22,863 ","24,496 ","7,500 ","9,792 ","6,582 ","5,059 ","6,096 ","9,698 ","9,614 ","12,135 ","16,415 ","29,028 ","22,177 ","14,102 ","10,879 ","11,640 ","12,112 ","11,572 ","9,542 ","9,906 ",985 ,"2,625 ","3,402 ","5,221 ","1,722 ","2,580 ","2,606 ","8,365 ","2,786 ","3,522 ","4,519 ",
2020/2/5,"4,390 ","14,437 ","41,300 ","41,601 ","21,520 ","13,346 ","11,266 ","4,134 ","3,293 ","11,291 ","2,581 ","3,373 ","4,838 ","7,132 ","9,905 ","17,444 ","16,210 ","4,537 ","8,863 ","3,012 ","7,755 ","7,716 ","6,018 ","28,805 ","2,860 ","11,413 ","11,216 ","15,601 ","24,945 ","14,479 ","9,537 ","23,324 ","16,510 ","32,619 ","23,648 ","8,395 ","33,928 ","25,537 ","27,273 ","20,577 ","23,401 ","128,168 ","38,760 ","20,939 ","21,806 ","22,843 ","24,387 ","22,514 ","22,101 ","11,283 ","27,964 ","6,870 ","8,511 ","15,852 ","4,976 ","3,807 ","3,351 ","11,397 ","8,319 ","9,267 ","27,347 ","9,653 ","12,729 ","7,277 ","20,339 ","24,425 ","30,240 ","34,816 ","38,032 ","25,065 ","27,071 ","64,093 ","18,885 ","32,032 ","34,659 ","20,673 ","58,112 ","18,822 ","16,045 ","14,027 ","16,615 ","13,752 ","27,210 ","18,545 ","6,867 ","12,389 ","39,380 ","22,040 ","22,913 ","24,896 ","7,682 ","9,806 ","6,877 ","5,185 ","6,110 ","9,624 ","9,862 ","12,184 ","16,640 ","29,318 ","22,355 ","13,977 ","11,041 ","11,606 ","12,104 ","11,461 ","9,523 ","9,521 ",992 ,"2,621 ","3,605 ","5,156 ","1,787 ","2,692 ","2,704 ","8,419 ","2,979 ","3,669 ","4,637 ",
2020/2/6,"4,655 ","14,405 ","40,374 ","42,743 ","22,483 ","13,148 ","11,214 ","4,208 ","3,365 ","11,227 ","2,641 ","3,582 ","6,257 ","7,152 ","9,836 ","17,203 ","16,264 ","4,523 ","8,846 ","3,367 ","7,598 ","8,114 ","5,680 ","29,227 ","2,810 ","12,275 ","11,260 ","15,631 ","24,917 ","14,488 ","9,504 ","23,920 ","16,231 ","31,831 ","24,877 ","8,096 ","34,124 ","25,372 ","27,243 ","20,626 ","23,550 ","131,649 ","39,674 ","21,303 ","22,205 ","24,179 ","26,044 ","23,759 ","22,373 ","11,284 ","27,900 ","6,862 ","8,664 ","16,398 ","5,603 ","3,631 ","3,305 ","11,970 ","8,671 ","9,790 ","31,260 ","9,705 ","12,290 ","7,231 ","20,704 ","24,279 ","30,601 ","35,062 ","38,110 ","24,843 ","27,270 ","65,778 ","18,486 ","31,903 ","34,548 ","20,486 ","58,901 ","18,299 ","15,998 ","14,222 ","16,869 ","14,539 ","27,662 ","18,305 ","7,407 ","12,574 ","38,479 ","21,775 ","22,847 ","24,728 ","7,653 ","10,104 ","7,010 ","5,062 ","6,489 ","9,454 ","9,543 ","12,502 ","16,447 ","29,618 ","22,779 ","14,042 ","11,074 ","11,844 ","12,060 ","11,348 ","9,791 ","9,559 ","1,036 ","2,678 ","3,484 ","5,230 ","1,674 ","2,699 ","2,555 ","8,733 ","3,007 ","3,755 ","4,791 ",
2020/2/7,"4,755 ","14,725 ","41,787 ","45,883 ","22,602 ","13,585 ","11,733 ","4,451 ","3,300 ","11,915 ","2,608 ","3,555 ","6,537 ","7,514 ","10,605 ","17,740 ","16,550 ","4,628 ","8,983 ","3,204 ","7,849 ","8,151 ","5,805 ","29,549 ","3,012 ","12,196 ","11,626 ","16,241 ","25,681 ","15,013 ","10,403 ","25,903 ","17,761 ","33,231 ","24,989 ","8,246 ","35,401 ","26,291 ","27,865 ","21,172 ","22,792 ","142,752 ","42,845 ","21,309 ","22,449 ","24,073 ","25,980 ","23,218 ","22,790 ","11,320 ","28,351 ","7,194 ","8,803 ","17,144 ","4,967 ","3,594 ","3,313 ","11,591 ","8,678 ","9,523 ","28,085 ","10,056 ","12,653 ","7,393 ","21,109 ","24,416 ","31,235 ","37,792 ","39,022 ","25,562 ","27,171 ","68,118 ","19,072 ","33,427 ","36,513 ","21,785 ","63,043 ","19,366 ","16,398 ","14,861 ","17,891 ","14,087 ","28,244 ","19,396 ","7,174 ","12,998 ","40,129 ","22,183 ","23,386 ","25,246 ","8,016 ","10,067 ","6,939 ","5,224 ","7,335 ","9,613 ","9,829 ","13,305 ","17,047 ","29,579 ","23,887 ","14,479 ","11,335 ","12,016 ","12,512 ","11,701 ","9,933 ","9,836 ",872 ,"2,711 ","3,715 ","5,389 ","1,852 ","2,826 ","2,663 ","9,429 ","2,989 ","3,715 ","4,658 ",
2020/2/8,"2,828 ","7,824 ","19,311 ","36,256 ","13,897 ","8,302 ","7,153 ","3,305 ","2,219 ","6,931 ","1,519 ","2,437 ","7,977 ","5,200 ","7,570 ","4,667 ","5,648 ","3,347 ","8,235 ","2,372 ","4,754 ","6,464 ","2,013 ","15,951 ","2,475 ","9,618 ","7,891 ","11,538 ","16,872 ","11,470 ","7,362 ","26,417 ","13,920 ","23,105 ","17,395 ","3,531 ","26,172 ","17,896 ","19,255 ","14,965 ","9,323 ","116,579 ","35,328 ","15,377 ","14,860 ","18,035 ","21,683 ","18,848 ","15,790 ","7,594 ","18,415 ","5,193 ","5,246 ","12,829 ","5,092 ","2,533 ","1,622 ","7,144 ","6,737 ","6,729 ","24,514 ","5,664 ","8,549 ","5,220 ","14,617 ","14,700 ","24,635 ","27,813 ","26,380 ","17,499 ","24,520 ","64,773 ","11,147 ","25,861 ","26,027 ","14,219 ","41,665 ","13,314 ","12,060 ","7,560 ","13,237 ","8,286 ","18,712 ","11,416 ","6,583 ","10,235 ","16,175 ","15,052 ","12,524 ","15,624 ","5,580 ","6,972 ","5,056 ","2,074 ","7,812 ","6,768 ","7,705 ","10,425 ","11,528 ","16,940 ","17,774 ","9,358 ","8,117 ","8,375 ","8,329 ","8,702 ","6,541 ","6,989 ",806 ,"2,748 ","3,338 ","5,436 ","1,153 ","1,192 ","2,175 ","8,845 ","3,278 ","3,651 ","3,828 ",
2020/2/9,"2,987 ","6,398 ","15,916 ","30,320 ","10,867 ","7,485 ","5,658 ","2,775 ","1,841 ","5,156 ","1,390 ","2,162 ","5,050 ","4,122 ","7,239 ","3,646 ","4,657 ","2,535 ","6,030 ","2,336 ","3,619 ","5,698 ","1,788 ","12,641 ","2,721 ","8,841 ","6,540 ","9,765 ","14,577 ","10,410 ","6,296 ","22,285 ","11,460 ","18,042 ","14,335 ","2,948 ","22,235 ","15,160 ","16,475 ","12,925 ","7,809 ","117,439 ","31,153 ","11,338 ","14,430 ","18,008 ","20,191 ","16,379 ","13,881 ","5,861 ","15,255 ","4,534 ","4,619 ","11,742 ","5,487 ","2,297 ","1,346 ","5,956 ","5,683 ","6,218 ","24,255 ","5,200 ","8,033 ","4,490 ","12,371 ","12,189 ","20,941 ","26,806 ","21,757 ","14,568 ","20,931 ","56,593 ","9,603 ","21,009 ","21,375 ","11,515 ","38,264 ","10,908 ","9,642 ","6,352 ","13,012 ","7,384 ","16,185 ","8,798 ","6,060 ","8,648 ","13,026 ","9,838 ","10,318 ","13,180 ","4,843 ","6,064 ","5,045 ","1,902 ","7,230 ","5,622 ","6,673 ","9,733 ","9,933 ","14,152 ","15,021 ","7,923 ","6,742 ","7,438 ","6,941 ","7,393 ","5,698 ","6,005 ",877 ,"2,576 ","3,079 ","5,293 ","1,276 ","1,107 ","2,098 ","10,728 ","3,126 ","3,702 ","4,363 ",
2020/2/10,"4,197 ","13,483 ","38,609 ","38,153 ","20,075 ","12,737 ","10,552 ","4,021 ","3,149 ","10,811 ","2,517 ","3,284 ","4,594 ","6,652 ","9,047 ","16,560 ","15,719 ","4,302 ","8,359 ","3,115 ","7,259 ","7,532 ","5,470 ","27,960 ","2,734 ","11,351 ","10,595 ","15,111 ","23,344 ","13,528 ","9,009 ","24,325 ","15,257 ","30,006 ","22,171 ","7,976 ","32,334 ","24,085 ","25,936 ","19,866 ","22,752 ","124,250 ","36,166 ","20,030 ","21,862 ","22,165 ","24,114 ","21,374 ","20,768 ","10,919 ","27,033 ","6,549 ","8,314 ","15,311 ","4,521 ","3,384 ","3,230 ","10,907 ","8,190 ","9,198 ","28,899 ","9,800 ","12,206 ","6,998 ","19,904 ","23,435 ","28,852 ","33,682 ","35,794 ","23,661 ","25,625 ","59,848 ","16,396 ","28,641 ","31,453 ","18,666 ","54,627 ","17,234 ","15,032 ","13,567 ","16,689 ","13,812 ","25,397 ","17,131 ","6,851 ","12,201 ","37,034 ","20,916 ","21,606 ","23,901 ","7,695 ","9,492 ","6,531 ","4,958 ","7,268 ","9,153 ","9,163 ","11,928 ","15,860 ","28,084 ","21,036 ","13,609 ","10,826 ","10,946 ","11,485 ","11,057 ","9,340 ","9,224 ",968 ,"2,322 ","3,255 ","4,805 ","1,842 ","2,595 ","2,443 ","8,258 ","2,770 ","3,354 ","4,478 ",
