"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021/2/1,"3,660 ","13,847 ","42,426 ","40,917 ","23,351 ","13,515 ","11,134 ","3,881 ","3,212 ","12,542 ","2,127 ","3,888 ","5,278 ","7,983 ","10,620 ","17,611 ","16,537 ","4,792 ","9,460 ","3,569 ","7,821 ","8,567 ","6,024 ","27,032 ","3,297 ","11,130 ","12,416 ","16,374 ","22,438 ","14,894 ","9,522 ","27,773 ","16,411 ","32,755 ","23,064 ","8,464 ","34,854 ","25,624 ","25,487 ","19,212 ","23,763 ","116,172 ","39,392 ","21,394 ","21,676 ","23,783 ","23,433 ","24,587 ","22,595 ","11,818 ","29,473 ","6,613 ","8,037 ","17,573 ","4,893 ","3,819 ","3,298 ","11,962 ","9,094 ","11,910 ","27,693 ","8,880 ","12,153 ","7,597 ","21,406 ","22,261 ","26,323 ","37,299 ","37,102 ","26,182 ","25,587 ","59,577 ","18,525 ","29,781 ","34,025 ","21,186 ","58,704 ","18,700 ","15,950 ","14,440 ","17,384 ","13,032 ","24,686 ","19,374 ","7,822 ","11,781 ","38,192 ","23,609 ","23,831 ","22,640 ","9,155 ","10,980 ","5,308 ","5,151 ","6,371 ","9,395 ","9,508 ","11,470 ","16,525 ","28,010 ","23,148 ","13,075 ","11,395 ","12,098 ","11,542 ","11,375 ","9,134 ","9,107 ","1,045 ","2,377 ","3,685 ","4,480 ","2,208 ","3,158 ","2,613 ","6,797 ","2,130 ","3,251 ","3,887 "
2021/2/2,"3,639 ","14,413 ","43,811 ","43,659 ","23,784 ","14,077 ","11,365 ","3,900 ","3,147 ","12,360 ","2,089 ","3,879 ","4,812 ","8,243 ","10,647 ","17,955 ","16,988 ","4,783 ","9,607 ","3,063 ","7,830 ","8,338 ","6,402 ","27,658 ","3,697 ","10,708 ","12,525 ","16,427 ","22,911 ","15,093 ","9,975 ","28,013 ","17,348 ","33,885 ","25,088 ","8,829 ","35,391 ","26,213 ","25,739 ","19,423 ","24,663 ","114,267 ","42,042 ","21,615 ","21,939 ","23,969 ","22,345 ","24,435 ","23,480 ","11,968 ","29,641 ","6,863 ","8,001 ","17,704 ","4,870 ","3,888 ","3,388 ","11,789 ","9,103 ","11,865 ","25,573 ","8,940 ","12,297 ","7,448 ","22,012 ","22,368 ","27,399 ","37,594 ","37,567 ","26,199 ","25,739 ","60,080 ","20,152 ","31,065 ","35,507 ","22,805 ","60,232 ","19,191 ","15,724 ","14,663 ","17,298 ","12,518 ","25,529 ","19,936 ","7,613 ","11,827 ","39,186 ","23,003 ","24,622 ","22,728 ","8,983 ","11,014 ","5,487 ","5,187 ","6,431 ","9,629 ","9,818 ","11,589 ","16,663 ","29,731 ","24,567 ","13,187 ","11,751 ","12,385 ","11,490 ","11,623 ","9,170 ","9,041 ","1,099 ","2,386 ","3,670 ","4,427 ","2,212 ","3,218 ","2,616 ","6,826 ","2,273 ","3,673 ","3,931 "
2021/2/3,"3,609 ","14,687 ","44,603 ","45,620 ","24,583 ","13,876 ","12,098 ","4,132 ","3,189 ","12,659 ","2,181 ","3,975 ","6,194 ","8,190 ","11,084 ","18,038 ","16,865 ","4,869 ","9,692 ","3,716 ","7,992 ","9,179 ","6,121 ","27,875 ","3,913 ","11,581 ","12,880 ","16,574 ","23,493 ","15,546 ","9,915 ","27,484 ","17,521 ","34,333 ","25,610 ","8,959 ","36,882 ","26,668 ","26,305 ","19,638 ","23,922 ","119,453 ","44,361 ","22,564 ","22,382 ","24,855 ","24,547 ","25,569 ","23,878 ","11,855 ","30,665 ","6,876 ","8,156 ","18,400 ","5,277 ","4,164 ","3,541 ","12,350 ","9,531 ","12,298 ","28,818 ","9,057 ","12,706 ","7,704 ","21,921 ","22,474 ","27,902 ","38,356 ","38,477 ","26,904 ","26,157 ","62,783 ","20,744 ","31,852 ","36,903 ","23,739 ","62,356 ","19,800 ","16,563 ","15,335 ","18,070 ","13,513 ","26,305 ","20,449 ","8,007 ","12,308 ","40,162 ","23,794 ","24,952 ","23,820 ","9,195 ","11,546 ","5,611 ","5,209 ","6,599 ","9,682 ","9,912 ","12,304 ","16,931 ","29,934 ","25,080 ","13,194 ","11,548 ","12,492 ","11,628 ","11,482 ","9,423 ","9,210 ","1,111 ","2,429 ","3,839 ","4,438 ","2,221 ","3,244 ","2,748 ","7,055 ","2,318 ","3,619 ","3,921 "
2021/2/4,"3,584 ","14,858 ","44,930 ","46,529 ","23,976 ","13,848 ","11,693 ","4,057 ","3,212 ","12,755 ","2,160 ","3,991 ","6,911 ","8,243 ","11,705 ","18,016 ","16,843 ","4,797 ","9,916 ","3,569 ","8,104 ","9,540 ","6,302 ","27,804 ","4,004 ","11,436 ","12,723 ","16,729 ","23,479 ","15,845 ","10,189 ","25,681 ","17,874 ","34,419 ","25,435 ","8,887 ","36,105 ","26,902 ","25,992 ","19,744 ","24,188 ","123,324 ","44,413 ","22,123 ","22,372 ","25,144 ","23,944 ","25,572 ","24,321 ","12,047 ","30,178 ","6,861 ","8,442 ","18,355 ","5,319 ","3,860 ","3,451 ","12,013 ","9,329 ","12,384 ","28,432 ","9,108 ","12,687 ","7,509 ","21,728 ","22,547 ","27,959 ","38,238 ","38,680 ","27,414 ","26,057 ","63,927 ","20,415 ","32,235 ","37,354 ","23,675 ","64,535 ","19,943 ","16,477 ","15,033 ","18,234 ","13,570 ","34,481 ","20,462 ","8,226 ","12,448 ","39,718 ","25,103 ","25,041 ","23,529 ","8,998 ","10,896 ","5,551 ","5,182 ","6,732 ","9,541 ","9,986 ","12,020 ","17,058 ","29,992 ","24,961 ","13,356 ","11,826 ","12,578 ","11,488 ","11,578 ","9,175 ","9,042 ","1,077 ","2,430 ","3,868 ","4,671 ","2,332 ","3,173 ","2,643 ","6,949 ","2,249 ","3,538 ","3,965 "
2021/2/5,"3,995 ","15,462 ","47,781 ","52,441 ","26,597 ","14,249 ","12,402 ","3,985 ","3,218 ","12,808 ","2,174 ","3,863 ","7,211 ","8,240 ","12,183 ","18,080 ","17,040 ","4,922 ","10,132 ","3,797 ","8,188 ","9,746 ","6,364 ","28,896 ","4,069 ","11,802 ","12,814 ","16,978 ","24,649 ","16,794 ","10,828 ","27,209 ","18,605 ","35,093 ","26,701 ","8,862 ","37,400 ","27,261 ","26,710 ","19,905 ","24,363 ","142,912 ","51,255 ","23,541 ","22,941 ","26,346 ","25,270 ","26,546 ","25,397 ","11,928 ","30,376 ","6,967 ","8,475 ","18,717 ","5,619 ","3,912 ","3,388 ","12,006 ","9,365 ","12,523 ","29,439 ","9,492 ","13,616 ","7,951 ","22,403 ","22,284 ","29,625 ","41,620 ","38,925 ","27,623 ","27,042 ","73,193 ","20,829 ","34,020 ","42,842 ","25,907 ","71,932 ","21,094 ","17,443 ","16,543 ","21,770 ","14,217 ","35,820 ","22,426 ","8,663 ","12,890 ","41,710 ","25,521 ","25,869 ","24,768 ","8,912 ","11,949 ","6,206 ","5,530 ","6,961 ","9,892 ","10,590 ","12,208 ","18,065 ","31,022 ","26,598 ","13,463 ","12,195 ","12,934 ","11,966 ","11,644 ","9,442 ","9,488 ","1,056 ","2,552 ","3,849 ","4,857 ","2,421 ","3,322 ","2,806 ","8,207 ","2,345 ","4,272 ","4,159 "
2021/2/6,"2,421 ","9,537 ","23,540 ","47,057 ","16,206 ","9,369 ","8,000 ","3,670 ","2,394 ","8,242 ","1,412 ","3,003 ","6,570 ","5,771 ","10,054 ","5,765 ","6,617 ","3,556 ","7,933 ","4,108 ","5,203 ","8,808 ","2,233 ","16,018 ","3,429 ","10,610 ","9,623 ","12,536 ","16,324 ","14,410 ","8,427 ","25,439 ","14,565 ","25,513 ","17,734 ","3,985 ","29,505 ","20,310 ","18,814 ","15,958 ","9,401 ","121,096 ","46,484 ","17,417 ","15,372 ","23,181 ","23,359 ","22,056 ","19,942 ","8,569 ","21,767 ","5,870 ","5,359 ","15,534 ","5,528 ","3,038 ","1,625 ","7,819 ","7,496 ","10,592 ","27,085 ","5,892 ","9,863 ","5,876 ","16,757 ","14,409 ","24,812 ","32,994 ","29,223 ","20,542 ","23,973 ","67,966 ","12,979 ","29,459 ","34,518 ","18,719 ","54,113 ","15,558 ","14,117 ","11,472 ","18,113 ","9,263 ","27,853 ","13,653 ","11,289 ","10,740 ","18,961 ","14,404 ","14,643 ","15,610 ","6,489 ","9,096 ","4,539 ","2,388 ","5,908 ","7,409 ","9,115 ","10,772 ","12,783 ","19,444 ","21,387 ","9,696 ","9,154 ","9,906 ","8,805 ","9,377 ","6,992 ","7,145 ",695 ,"2,145 ","2,693 ","3,934 ","1,344 ","1,144 ","1,782 ","6,693 ","1,917 ","3,139 ","2,458 "
2021/2/7,"2,255 ","7,812 ","17,396 ","35,913 ","12,145 ","6,909 ","6,340 ","3,317 ","2,061 ","6,338 ","1,279 ","2,420 ","6,277 ","4,650 ","8,322 ","4,736 ","5,859 ","3,163 ","6,919 ","4,206 ","4,385 ","7,941 ","2,052 ","13,242 ","3,432 ","9,969 ","8,128 ","10,840 ","13,282 ","11,525 ","7,325 ","22,192 ","12,553 ","21,021 ","16,743 ","3,450 ","25,033 ","16,699 ","15,870 ","13,449 ","7,069 ","105,575 ","37,766 ","12,134 ","13,843 ","20,675 ","20,971 ","18,997 ","16,758 ","6,582 ","17,637 ","4,922 ","4,465 ","13,755 ","5,457 ","2,796 ","1,439 ","6,706 ","6,244 ","9,716 ","25,977 ","5,301 ","8,244 ","4,855 ","13,668 ","11,089 ","20,739 ","27,723 ","24,894 ","17,112 ","20,275 ","57,656 ","10,874 ","24,515 ","25,452 ","14,717 ","44,820 ","13,004 ","11,583 ","7,310 ","15,643 ","8,148 ","23,368 ","10,204 ","10,878 ","9,078 ","14,083 ","11,595 ","11,601 ","12,985 ","5,328 ","7,413 ","3,578 ","1,876 ","5,014 ","5,864 ","7,399 ","9,226 ","10,195 ","15,050 ","18,522 ","8,212 ","7,589 ","7,946 ","7,365 ","7,815 ","5,878 ","5,787 ",667 ,"1,773 ","2,277 ","3,533 ","1,036 ",979 ,"1,446 ","5,968 ","1,633 ","2,523 ","2,187 "
2021/2/8,"3,651 ","13,768 ","41,971 ","46,812 ","22,538 ","12,322 ","11,019 ","3,865 ","2,965 ","11,512 ","1,995 ","3,576 ","4,099 ","7,242 ","11,121 ","16,031 ","15,510 ","4,433 ","9,217 ","3,076 ","7,431 ","8,155 ","5,848 ","25,564 ","3,413 ","10,041 ","11,894 ","15,786 ","21,783 ","14,897 ","9,578 ","24,674 ","16,514 ","31,209 ","22,080 ","7,914 ","34,749 ","24,860 ","24,505 ","18,846 ","23,498 ","130,465 ","44,536 ","22,007 ","21,309 ","22,439 ","20,819 ","23,117 ","22,934 ","11,538 ","28,002 ","6,544 ","7,762 ","17,048 ","4,456 ","3,559 ","3,281 ","11,258 ","8,806 ","11,483 ","25,560 ","8,903 ","12,322 ","7,474 ","20,734 ","20,885 ","26,936 ","38,832 ","36,863 ","25,271 ","25,547 ","65,340 ","17,929 ","30,021 ","37,509 ","22,084 ","62,880 ","19,317 ","15,959 ","14,592 ","18,775 ","12,061 ","31,020 ","19,465 ","8,484 ","11,919 ","38,656 ","21,917 ","23,456 ","22,407 ","8,460 ","10,175 ","5,377 ","4,968 ","6,195 ","9,063 ","10,102 ","11,344 ","16,338 ","28,810 ","23,642 ","12,397 ","11,057 ","12,023 ","11,061 ","11,117 ","8,717 ","8,721 ",943 ,"2,253 ","3,658 ","4,493 ","2,335 ","3,032 ","2,443 ","7,466 ","2,125 ","3,473 ","3,774 "
2021/2/9,"4,097 ","13,025 ","39,042 ","49,821 ","21,334 ","11,386 ","10,435 ","3,694 ","2,639 ","10,351 ","1,879 ","3,289 ","4,835 ","6,736 ","10,437 ","14,821 ","14,484 ","4,170 ","8,671 ","2,915 ","6,977 ","7,614 ","5,642 ","23,937 ","3,159 ","9,795 ","11,159 ","15,134 ","20,425 ","14,339 ","9,326 ","21,495 ","15,839 ","28,988 ","21,774 ","7,099 ","32,979 ","23,245 ","22,898 ","17,823 ","21,193 ","141,618 ","47,786 ","21,010 ","20,591 ","22,043 ","21,380 ","23,319 ","22,882 ","10,649 ","26,177 ","6,259 ","7,405 ","16,919 ","4,611 ","3,462 ","3,056 ","10,590 ","8,565 ","10,749 ","24,858 ","8,843 ","12,077 ","7,163 ","19,910 ","19,449 ","26,665 ","39,976 ","35,292 ","24,566 ","25,840 ","67,176 ","16,861 ","29,046 ","38,471 ","21,484 ","64,106 ","19,141 ","15,578 ","13,496 ","20,276 ","11,602 ","25,680 ","18,941 ","8,695 ","12,072 ","36,586 ","20,309 ","22,328 ","22,023 ","7,372 ","9,636 ","5,148 ","4,783 ","5,980 ","8,506 ","9,923 ","10,857 ","15,973 ","27,510 ","24,522 ","11,856 ","10,832 ","11,393 ","10,580 ","10,553 ","8,353 ","8,329 ",912 ,"2,250 ","3,494 ","4,505 ","2,196 ","2,845 ","2,369 ","8,759 ","2,247 ","3,369 ","3,568 "
2021/2/10,"2,706 ","5,637 ","13,650 ","34,570 ","9,597 ","5,477 ","5,085 ","2,830 ","1,333 ","5,893 ","1,075 ","2,020 ","3,871 ","3,543 ","6,179 ","3,249 ","3,995 ","2,274 ","5,001 ","1,972 ","3,479 ","4,910 ","1,597 ","10,068 ","2,453 ","7,015 ","6,464 ","8,618 ","11,068 ","9,279 ","5,856 ","13,911 ","8,846 ","14,922 ","10,959 ","2,424 ","20,246 ","13,208 ","12,909 ","11,038 ","10,158 ","102,241 ","31,086 ","12,811 ","9,416 ","12,705 ","13,519 ","14,657 ","13,805 ","6,741 ","13,618 ","4,120 ","3,634 ","11,318 ","3,481 ","2,119 ","1,564 ","5,497 ","5,677 ","7,380 ","18,102 ","4,444 ","7,048 ","4,398 ","11,533 ","10,568 ","16,052 ","27,156 ","20,054 ","13,727 ","18,023 ","46,428 ","7,417 ","17,391 ","22,804 ","10,744 ","38,656 ","11,556 ","9,898 ","5,736 ","13,262 ","5,206 ","13,177 ","8,788 ","6,677 ","7,073 ","11,670 ","8,021 ","9,534 ","10,071 ","4,109 ","5,231 ","2,934 ","1,520 ","3,653 ","4,820 ","6,122 ","7,074 ","8,376 ","11,878 ","14,921 ","6,509 ","5,974 ","6,654 ","6,074 ","6,497 ","4,836 ","4,694 ",426 ,"1,410 ","1,980 ","2,872 ",926 ,727 ,"1,221 ","7,081 ","1,296 ","1,986 ","1,643 "
