"　　　　車站
日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,BL板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101/世貿,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2021/6/1,"1,010 ","3,589 ","10,701 ","9,008 ","5,275 ","3,230 ","2,921 ","1,105 ",911 ,"3,031 ",698 ,"1,003 ",634 ,"1,648 ","2,215 ","3,485 ","3,750 ","1,079 ","2,308 ",681 ,"1,784 ","1,924 ","1,194 ","7,533 ",671 ,"3,356 ","3,288 ","4,032 ","5,959 ","3,984 ","2,859 ","4,807 ","4,102 ","7,787 ","5,800 ","2,227 ","9,011 ","6,423 ","6,980 ","5,966 ","7,166 ","21,690 ","8,346 ","5,041 ","6,128 ","5,779 ","4,951 ","5,841 ","6,092 ","3,362 ","8,144 ","2,269 ","2,658 ","4,618 ",843 ,"1,293 ","1,104 ","2,957 ","2,806 ","3,394 ","7,644 ","2,590 ","3,139 ","2,316 ","5,943 ","6,725 ","7,156 ","7,551 ","9,827 ","6,661 ","3,977 ","10,134 ","4,909 ","7,689 ","6,826 ","4,457 ","13,198 ","5,467 ","4,507 ","4,580 ","4,087 ","3,394 ","5,000 ","4,909 ","1,902 ","3,268 ","10,687 ","5,219 ","6,251 ","6,055 ","2,048 ","2,830 ","1,818 ","1,886 ","1,706 ","3,013 ","2,741 ","3,296 ","4,620 ","7,454 ","5,569 ","3,924 ","3,280 ","3,355 ","3,707 ","3,598 ","3,280 ","3,150 ",328 ,645 ,988 ,"1,308 ",760 ,"1,087 ",788 ,"1,616 ",600 ,936 ,"1,399 "
2021/6/2,947 ,"3,542 ","10,537 ","8,952 ","5,133 ","3,245 ","2,944 ","1,155 ",905 ,"3,107 ",697 ,991 ,651 ,"1,652 ","2,136 ","3,472 ","3,644 ","1,040 ","2,235 ",664 ,"1,795 ","1,847 ","1,179 ","7,436 ",630 ,"3,269 ","3,188 ","4,023 ","5,878 ","3,946 ","2,798 ","4,780 ","4,222 ","7,864 ","5,795 ","2,177 ","8,817 ","6,425 ","7,016 ","5,918 ","7,038 ","21,111 ","8,256 ","5,218 ","5,857 ","5,721 ","4,890 ","6,000 ","6,096 ","3,252 ","8,168 ","2,171 ","2,665 ","4,600 ",831 ,"1,231 ","1,073 ","2,858 ","2,752 ","3,235 ","7,562 ","2,561 ","3,093 ","2,310 ","5,957 ","6,780 ","7,176 ","7,469 ","9,738 ","6,705 ","3,959 ","10,149 ","4,838 ","7,671 ","6,782 ","4,444 ","12,249 ","5,409 ","4,593 ","4,311 ","3,873 ","3,338 ","4,972 ","4,933 ","1,899 ","3,419 ","10,482 ","5,189 ","6,159 ","6,032 ","2,123 ","2,805 ","1,790 ","1,904 ","1,674 ","3,049 ","2,720 ","3,295 ","4,617 ","7,237 ","5,340 ","3,913 ","3,324 ","3,331 ","3,609 ","3,588 ","3,298 ","3,088 ",348 ,610 ,958 ,"1,266 ",763 ,"1,098 ",761 ,"1,575 ",614 ,917 ,"1,387 "
2021/6/3,874 ,"3,462 ","10,101 ","8,895 ","4,973 ","3,072 ","2,810 ","1,136 ",889 ,"2,993 ",688 ,986 ,646 ,"1,662 ","2,131 ","3,361 ","3,546 ","1,066 ","2,238 ",695 ,"1,778 ","1,815 ","1,087 ","7,414 ",630 ,"3,241 ","3,181 ","3,883 ","5,615 ","3,808 ","2,749 ","4,657 ","3,967 ","7,612 ","5,663 ","2,160 ","8,666 ","6,271 ","6,881 ","5,832 ","6,774 ","20,884 ","8,235 ","4,957 ","5,750 ","5,653 ","4,868 ","5,863 ","6,148 ","3,184 ","7,976 ","2,130 ","2,574 ","4,581 ",814 ,"1,214 ","1,060 ","2,872 ","2,766 ","3,276 ","7,591 ","2,508 ","3,086 ","2,279 ","5,833 ","6,802 ","7,082 ","7,324 ","9,467 ","6,385 ","3,955 ","9,834 ","4,592 ","7,364 ","6,571 ","4,313 ","12,395 ","5,191 ","4,580 ","4,317 ","3,858 ","3,228 ","4,903 ","4,758 ","1,877 ","3,324 ","10,008 ","5,074 ","5,934 ","5,813 ","2,156 ","2,853 ","1,795 ","1,879 ","1,678 ","3,061 ","2,676 ","3,161 ","4,476 ","7,078 ","5,146 ","3,739 ","3,249 ","3,271 ","3,574 ","3,519 ","3,218 ","3,096 ",340 ,625 ,987 ,"1,205 ",709 ,"1,022 ",761 ,"1,608 ",535 ,923 ,"1,323 "
2021/6/4,"1,009 ","3,450 ","10,185 ","9,211 ","5,207 ","3,169 ","2,794 ","1,166 ",878 ,"2,950 ",681 ,979 ,620 ,"1,754 ","2,092 ","3,361 ","3,515 ","1,001 ","2,228 ",637 ,"1,764 ","1,773 ","1,226 ","7,167 ",656 ,"3,204 ","3,191 ","3,951 ","5,835 ","3,853 ","2,775 ","4,786 ","4,144 ","7,758 ","5,899 ","2,160 ","8,529 ","6,212 ","6,917 ","5,709 ","6,576 ","21,885 ","8,211 ","4,935 ","5,559 ","5,427 ","4,912 ","5,709 ","5,975 ","3,211 ","7,967 ","2,197 ","2,616 ","4,713 ",803 ,"1,215 ","1,030 ","2,736 ","2,627 ","3,209 ","7,440 ","2,486 ","3,125 ","2,245 ","5,770 ","6,674 ","6,782 ","7,580 ","9,459 ","6,456 ","3,941 ","9,919 ","4,869 ","7,334 ","6,578 ","4,490 ","12,790 ","5,329 ","4,494 ","4,248 ","3,916 ","3,120 ","4,880 ","4,769 ","1,810 ","3,499 ","10,334 ","5,006 ","5,962 ","5,694 ","2,123 ","2,745 ","1,695 ","1,858 ","1,651 ","3,045 ","2,712 ","3,280 ","4,490 ","7,130 ","5,336 ","3,717 ","3,290 ","3,311 ","3,570 ","3,552 ","3,149 ","3,056 ",313 ,614 ,981 ,"1,253 ",728 ,"1,046 ",788 ,"1,677 ",594 ,951 ,"1,345 "
2021/6/5,358 ,"1,292 ","2,799 ","6,235 ","2,152 ","1,284 ","1,190 ",632 ,371 ,"1,281 ",291 ,492 ,203 ,781 ,"1,028 ",789 ,944 ,486 ,"1,140 ",311 ,715 ,791 ,304 ,"2,584 ",348 ,"1,450 ","1,278 ","1,900 ","2,251 ","2,046 ","1,318 ","2,425 ","1,993 ","3,458 ","1,687 ",596 ,"4,073 ","2,684 ","2,817 ","2,670 ","1,605 ","9,188 ","4,643 ","2,567 ","2,319 ","2,242 ","2,454 ","2,964 ","3,091 ","1,458 ","3,313 ","1,028 ","1,031 ","2,267 ",453 ,592 ,371 ,"1,367 ","1,486 ","1,481 ","3,663 ","1,066 ","1,145 ",948 ,"2,388 ","2,396 ","3,170 ","2,929 ","4,207 ","2,764 ","2,066 ","4,944 ","1,420 ","3,110 ","3,105 ","1,712 ","5,990 ","2,668 ","2,495 ","1,452 ","1,780 ","1,041 ","2,027 ","1,877 ",834 ,"1,022 ","2,400 ","1,451 ","1,933 ","2,041 ",871 ,"1,032 ",713 ,532 ,771 ,"1,292 ","1,510 ","1,530 ","2,122 ","2,426 ","2,791 ","1,497 ","1,359 ","1,388 ","1,624 ","1,782 ","1,183 ","1,262 ",151 ,258 ,424 ,644 ,205 ,251 ,305 ,622 ,279 ,424 ,438 
2021/6/6,353 ,971 ,"2,163 ","4,595 ","1,477 ",973 ,900 ,494 ,274 ,804 ,236 ,387 ,183 ,571 ,914 ,567 ,722 ,380 ,860 ,298 ,512 ,658 ,247 ,"2,008 ",261 ,"1,181 ",989 ,"1,411 ","1,681 ","1,681 ","1,092 ","1,846 ","1,332 ","2,360 ","1,306 ",563 ,"3,173 ","2,015 ","2,099 ","2,070 ","1,150 ","8,505 ","3,545 ","1,514 ","1,853 ","1,892 ","2,015 ","2,260 ","2,515 ",986 ,"2,386 ",725 ,695 ,"1,759 ",362 ,447 ,280 ,926 ,"1,103 ","1,192 ","2,967 ",835 ,902 ,741 ,"1,832 ","1,799 ","2,445 ","2,644 ","3,076 ","2,131 ","1,719 ","3,919 ","1,090 ","2,451 ","2,136 ","1,223 ","5,352 ","2,030 ","2,038 ","1,055 ","1,708 ",867 ,"1,636 ","1,259 ",760 ,"1,008 ","1,571 ","1,049 ","1,446 ","1,523 ",655 ,773 ,559 ,365 ,547 ,991 ,"1,128 ","1,155 ","1,564 ","1,773 ","2,068 ","1,057 ","1,020 ","1,054 ","1,191 ","1,366 ",876 ,989 ,108 ,217 ,378 ,569 ,138 ,161 ,236 ,710 ,238 ,333 ,331 
2021/6/7,"1,000 ","3,515 ","10,745 ","9,276 ","5,536 ","3,351 ","2,873 ","1,151 ",951 ,"3,199 ",742 ,"1,033 ",625 ,"1,661 ","2,198 ","3,636 ","3,711 ","1,107 ","2,251 ",676 ,"1,807 ","1,925 ","1,161 ","7,600 ",595 ,"3,414 ","3,275 ","4,107 ","5,970 ","3,969 ","2,824 ","4,695 ","4,001 ","7,708 ","5,999 ","2,456 ","8,997 ","6,457 ","7,032 ","6,007 ","7,234 ","21,864 ","8,375 ","5,109 ","5,987 ","5,619 ","4,794 ","5,942 ","6,316 ","3,245 ","8,215 ","2,168 ","2,735 ","4,613 ",811 ,"1,281 ","1,048 ","2,891 ","2,742 ","3,318 ","7,784 ","2,624 ","3,185 ","2,281 ","5,942 ","6,815 ","7,173 ","7,626 ","9,766 ","6,653 ","4,301 ","10,175 ","4,874 ","7,608 ","6,826 ","4,362 ","12,927 ","5,436 ","4,742 ","4,519 ","4,007 ","3,332 ","5,137 ","4,918 ","1,895 ","3,533 ","10,572 ","5,149 ","6,098 ","6,037 ","2,110 ","2,871 ","1,826 ","1,862 ","1,743 ","3,021 ","2,785 ","3,285 ","4,687 ","7,467 ","5,141 ","3,869 ","3,402 ","3,421 ","3,688 ","3,611 ","3,148 ","3,112 ",362 ,631 ,"1,005 ","1,307 ",786 ,"1,116 ",839 ,"1,662 ",629 ,"1,000 ","1,442 "
2021/6/8,918 ,"3,495 ","10,377 ","9,228 ","5,248 ","3,142 ","2,801 ","1,171 ",895 ,"2,995 ",704 ,990 ,644 ,"1,638 ","2,182 ","3,522 ","3,624 ","1,091 ","2,277 ",663 ,"1,818 ","1,936 ","1,158 ","7,366 ",597 ,"3,362 ","3,283 ","3,954 ","5,709 ","4,000 ","2,855 ","4,744 ","3,997 ","7,685 ","6,007 ","2,252 ","8,900 ","6,381 ","7,096 ","5,866 ","7,121 ","20,890 ","8,271 ","5,070 ","5,761 ","5,664 ","4,979 ","5,966 ","6,209 ","3,291 ","8,148 ","2,130 ","2,672 ","4,569 ",783 ,"1,241 ","1,085 ","2,791 ","2,755 ","3,254 ","7,720 ","2,602 ","3,097 ","2,342 ","5,856 ","6,763 ","7,176 ","7,543 ","9,739 ","6,587 ","4,263 ","10,166 ","4,783 ","7,525 ","6,754 ","4,473 ","12,772 ","5,389 ","4,581 ","4,437 ","3,984 ","3,304 ","4,981 ","4,790 ","1,895 ","3,333 ","10,423 ","5,102 ","6,079 ","5,922 ","2,151 ","2,845 ","1,813 ","1,899 ","1,691 ","2,978 ","2,729 ","3,296 ","4,609 ","7,264 ","5,346 ","3,878 ","3,343 ","3,388 ","3,668 ","3,636 ","3,153 ","3,193 ",347 ,618 ,"1,042 ","1,262 ",768 ,"1,079 ",784 ,"1,580 ",611 ,"1,002 ","1,407 "
2021/6/9,899 ,"3,401 ","10,382 ","9,113 ","5,135 ","3,117 ","2,843 ","1,170 ",910 ,"3,078 ",696 ,981 ,637 ,"1,723 ","2,154 ","3,463 ","3,653 ","1,098 ","2,321 ",657 ,"1,841 ","1,880 ","1,099 ","7,449 ",597 ,"3,312 ","3,172 ","3,981 ","5,784 ","4,000 ","2,819 ","4,677 ","4,051 ","7,848 ","6,075 ","2,142 ","8,783 ","6,354 ","6,977 ","5,974 ","6,857 ","21,130 ","8,345 ","5,086 ","5,745 ","5,576 ","4,972 ","5,779 ","6,061 ","3,259 ","8,117 ","2,153 ","2,634 ","4,494 ",767 ,"1,254 ",902 ,"2,664 ","2,760 ","3,210 ","7,802 ","2,597 ","3,156 ","2,306 ","5,926 ","6,760 ","7,180 ","7,363 ","9,807 ","6,590 ","4,343 ","10,277 ","4,756 ","7,435 ","6,768 ","4,447 ","12,650 ","5,342 ","4,488 ","4,430 ","3,884 ","3,296 ","4,913 ","4,710 ","1,897 ","3,312 ","10,290 ","4,979 ","5,958 ","5,805 ","2,094 ","2,825 ","1,747 ","1,866 ","1,679 ","2,946 ","2,662 ","3,208 ","4,525 ","7,393 ","5,294 ","3,909 ","3,385 ","3,369 ","3,689 ","3,561 ","3,177 ","3,110 ",365 ,625 ,"1,042 ","1,238 ",741 ,"1,061 ",800 ,"1,576 ",594 ,965 ,"1,385 "
2021/6/10,935 ,"3,542 ","10,458 ","9,477 ","5,195 ","3,219 ","2,912 ","1,187 ",900 ,"3,087 ",698 ,978 ,640 ,"1,701 ","2,194 ","3,475 ","3,608 ","1,083 ","2,282 ",659 ,"1,808 ","1,909 ","1,087 ","7,500 ",654 ,"3,308 ","3,320 ","4,026 ","5,867 ","3,918 ","2,801 ","4,789 ","4,107 ","7,928 ","5,985 ","2,144 ","8,896 ","6,364 ","7,034 ","5,886 ","6,897 ","21,568 ","8,549 ","5,087 ","5,856 ","5,660 ","4,862 ","5,943 ","6,120 ","3,234 ","8,116 ","2,125 ","2,672 ","4,517 ",799 ,"1,252 ","1,062 ","2,848 ","2,729 ","3,344 ","7,787 ","2,607 ","3,202 ","2,297 ","5,970 ","6,740 ","7,319 ","7,460 ","9,813 ","6,640 ","4,343 ","10,378 ","4,849 ","7,576 ","6,936 ","4,431 ","12,825 ","5,515 ","4,490 ","4,522 ","3,961 ","3,257 ","5,131 ","4,775 ","1,887 ","3,231 ","10,376 ","5,159 ","6,074 ","5,800 ","2,147 ","2,805 ","1,784 ","1,886 ","1,666 ","2,980 ","2,778 ","3,280 ","4,633 ","7,411 ","5,340 ","3,878 ","3,329 ","3,366 ","3,642 ","3,677 ","3,166 ","3,113 ",361 ,647 ,994 ,"1,304 ",759 ,"1,093 ",784 ,"1,649 ",619 ,993 ,"1,410 "
