年別,year,營運路線數,營運里程,營運車站數,客運人次,平均每日客運人次,中運量客運人次,平均每日中運量客運人次,高運量客運人次,平均每日高運量客運人次,客運收入千元,悠遊卡累計發卡量,每日列車延車公里數[車公里],每日列車延人千公里數[人千公里],雙向轉乘優惠運量[千人次]
1996,1996,1,11,12,11204389,30613,11204389,30613,0,0,286812,0,3608,187,102
1997,,2,32,32,31079749,85150,15542427,42582,15537322,42568,998779,0,8114,668,3282
1998,,4,40.3,39,60781145,166524,18121738,49649,42659407,116875,1703959,0,9800,1404,1229
1999,,6,56.4,56,126952122,347814,21394335,58615,105557787,289199,3050223,0,13467,2829,21203
2000,2000,7,65.1,62,268588061,733847,30551842,83475,238036219,650372,6163592,0,20820,5584,38138
2001,,7,65.1,62,289642714,793542,32088940,87915,257553774,705627,6521102,0,22504,6092,44366
2002,,7,65.1,62,324433557,888859,32617520,89363,291816037,799496,7206152,1004254,24536,6843,53094
2003,,7,65.1,62,316189128,866272,30211659,82772,285977469,783500,6978189,3282781,24966,6687,72400
2004,,7,67,63,350141956,956672,31735815,86710,318406141,869962,7615737,4895563,25049,7323,125343
2005,2005,7,67,63,360729803,988301,31469377,86217,329260426,902083,7789059,6488599,25681,7513,127424
2006,,8,74.4,69,383947560,1051911,31564363,86478,352383197,965433,8368732,8543240,29448,8217,130916
2007,,8,74.4,69,416229685,1140355,33822249,92664,382407436,1047692,9124631,11587294,32192,9038,140044
2008,,8,75.8,70,450024415,1229575,35352661,96592,414671754,1132983,9713637,15091767,33073,9601,152643
2009,,9,90.6,82,462472351,1267048,42722913,117049,419749438,1149998,9886726,17863800,38108,10194,153679
2010,2010,9,100.8,93,505466450,1384840,59150826,162057,446315624,1222783,10711142,23252130,43279,11296,162098
2011,,9,101.9,94,566404486,1551793,68027972,186378,498376514,1365415,12148766,29013392,48455,12624,170963
2012,,10,112.8,102,602199342,1645353,69860686,190876,532338656,1454477,13168409,35940603,52978,13589,177917
2013,,11,121.3,109,634961083,1739619,71405827,195632,563555256,1543987,13851374,43072866,55604,14340,182193
2014,,5,129.2,116,679506401,1861661,74780341,204878,604726060,1656784,14761395,49883983,58439,15313,180133
2015,2015,5,131.1,117,717511809,1965786,74619617,204437,642892192,1761348,15651875,57518771,63289,16112,173877
2016,,5,131.1,117,739990166,2021831,75602307,206564,664387859,1815267,16086224,64508382,62994,16438,173770
2017,,5,131.1,117,746066556,2044018,75401657,206580,670664899,1837438,16174579,72440028,62931,16623,173730
2018,,5,131.1,117,765470127,2097178,77196008,211496,688274119,1885683,16559721,81529312,62855,16990,184103
2019,,5,131.1,117,789599136,2163285,75991020,208195,713608116,1955091,16810512,93194283,62865,17428,196685
2020,2020,6,146.2,131,695863717,1901267,81484634,222636,614379083,1678631,15371476,103540604,0,0,0
