年月別,客運人次/總計[人次],客運人次/中運量[人次],客運人次/高運量[人次],平均每日客運人次[人次],營運收入/總計[千元],客運收入/中運量[千元],客運收入/高運量[千元],悠遊卡累計發卡量[張],,,,
1998/1/1,3833484,1298008,2535476,123661,133679,30370,103309,-,,,,
1998/2/1,4093442,1416827,2676615,146194,133559,32997,100562,-,,,,
1998/3/1,4807209,1584508,3222701,155071,146319,34554,111765,-,,,,
1998/4/1,4812240,1521850,3290390,160408,136597,30277,106320,-,,,,
1998/5/1,4933190,1512360,3420830,159135,136389,28958,107431,-,,,,
1998/6/1,4572868,1396924,3175944,152429,126175,26895,99281,-,,,,
1998/7/1,4907065,1458750,3448315,158292,140026,28618,111408,-,,,,
1998/8/1,5182575,1474176,3708399,167180,151829,29427,122402,-,,,,695863717
1998/9/1,5130292,1507655,3622637,171010,137716,28253,109463,-,,,,
1998/10/1,5305882,1511251,3794631,171157,142963,28917,114046,-,,,,
1998/11/1,5848865,1686197,4162668,194962,148511,33494,115017,-,,,,
1998/12/1,7354033,1753232,5600801,237227,170196,32678,137518,-,,,,
1999/1/1,8822559,1670304,7152255,284599,214589,31918,182671,-,,,,614379083
1999/2/1,7927522,1400351,6527171,283126,197663,28691,168972,-,,,,
1999/3/1,10118012,1821565,8296447,326387,231756,33553,198203,-,,,,
1999/4/1,9565661,1731875,7833786,318855,234191,32475,201716,-,,,,
1999/5/1,9842305,1742808,8099497,317494,233087,31614,201473,-,,,,
1999/6/1,9170981,1583586,7587395,305699,219472,29246,190226,-,,,,
1999/7/1,10315019,1689178,8625841,332743,252757,31908,220849,-,,,,
1999/8/1,10792265,1951692,8840573,348138,265658,38845,226813,-,,,,
1999/9/1,9899623,1728872,8170751,329987,243630,32289,211341,-,,,,
1999/10/1,11069573,1908426,9161147,357083,261491,35240,226252,-,,,,
1999/11/1,12954558,2019317,10935241,431819,314996,39191,275805,-,,,,
1999/12/1,16474044,2146361,14327683,531421,380933,43030,337903,-,,,,
2000/1/1,19124337,2351448,16772889,616914,442906,51506,391400,-,,,,
2000/2/1,20134936,2156580,17978356,694308,466003,52450,413553,-,,,,
2000/3/1,21544104,2617928,18926176,694971,518138,63916,454222,-,,,,
2000/4/1,20516356,2389674,18126682,683879,470705,56640,414064,-,,,,
2000/5/1,21426187,2547729,18878458,691167,485454,59709,425745,-,,,,
2000/6/1,20347558,2347839,17999719,678252,455360,54810,400550,-,,,,
2000/7/1,22601605,2488968,20112637,729084,512237,59108,453129,-,,,,
2000/8/1,22459295,2448004,20011291,724493,506682,58163,448520,-,,,,
2000/9/1,23673624,2602514,21071110,789121,544530,62958,481573,-,,,,
2000/10/1,24864786,2821380,22043406,802090,568927,68646,500281,-,,,,
2000/11/1,24337959,2799621,21538338,811265,560097,67467,492629,-,,,,
2000/12/1,27557314,2980157,24577157,888946,632554,73031,559523,-,,,,
2001/1/1,24367635,2505013,21862622,786053,562504,59526,502978,-,,,,
2001/2/1,26674023,2709286,23964737,952644,610544,61718,548827,-,,,,
2001/3/1,27686991,2918726,24768265,893129,629474,62744,566730,-,,,,
2001/4/1,26165096,2705268,23459828,872170,585733,55610,530123,-,,,,
2001/5/1,27069704,2855690,24214014,873216,598400,56971,541429,-,,,,
2001/6/1,25896546,2600313,23296233,863218,580283,54763,525520,-,,,,
2001/7/1,27572474,2695168,24877306,889435,629507,67150,562357,-,,,,
2001/8/1,28878337,2801217,26077120,931559,657424,60195,597229,-,,,,
2001/9/1,16276009,2287229,13988780,542534,352196,44359,307837,-,,,,
2001/10/1,15110775,2534584,12576191,487444,339651,47419,292232,-,,,,
2001/11/1,18647082,2611395,16035687,621569,418567,53263,365303,-,,,,
2001/12/1,25298042,2865051,22432991,816066,556820,58499,498320,-,,,,
2002/1/1,25603402,2777938,22825464,825916,542435,53571,488864,-,,,,
2002/2/1,23473254,2230191,21243063,838331,576358,51944,524414,-,,,,
2002/3/1,27118827,2836224,24282603,874801,607805,58302,549503,-,,,,
2002/4/1,25768631,2750378,23018253,858954,581725,57240,524485,-,,,,
2002/5/1,27019953,2813160,24206793,871611,598038,57488,540550,-,,,,
2002/6/1,25533309,2552118,22981191,851110,578014,58688,519327,-,,,,
2002/7/1,27890392,2723379,25167013,899690,624439,57073,567366,-,,,,
2002/8/1,28352991,2683925,25669066,914613,640286,56429,583857,-,,,,
2002/9/1,25747115,2544518,23202597,858237,567765,50468,517297,-,,,,
2002/10/1,28684322,2906752,25777570,925301,625673,59045,566628,-,,,,
2002/11/1,28724883,2848126,25876757,957496,617025,56460,560565,-,,,,
2002/12/1,30516478,2950811,27565667,984403,646588,56586,590002,1004254,,,,
2003/1/1,28014216,2713655,25300561,903684,625032,56161,568872,-,,,,
2003/2/1,26241269,2430288,23810981,937188,598651,51839,546812,-,,,,
2003/3/1,29040656,2875691,26164965,936795,636769,56792,579978,-,,,,
2003/4/1,25791169,2638588,23152581,859706,572285,53654,518630,-,,,,
2003/5/1,18647030,1955018,16692012,601517,405126,38127,366999,-,,,,
2003/6/1,20713548,2040542,18673006,690452,453731,40417,413315,-,,,,
2003/7/1,26104763,2438488,23666275,842089,571383,48611,522772,-,,,,
2003/8/1,26946918,2434573,24512345,869255,605729,49551,556178,-,,,,
2003/9/1,26920391,2533119,24387272,897346,584196,49980,534216,-,,,,
2003/10/1,29090570,2734448,26356122,938405,643659,55017,588642,-,,,,
2003/11/1,28189502,2617447,25572055,939650,588187,48897,539290,-,,,,15371476
2003/12/1,30489096,2799802,27689294,983519,693440,51801,641639,3282781,,,,
2004/1/1,26615701,2305839,24309862,858571,584627,46614,538014,-,,,,
2004/2/1,28581061,2581008,26000053,985554,626352,51513,574839,-,,,,
2004/3/1,30223485,2844725,27378760,974951,650144,55432,594712,-,,,,
2004/4/1,28547591,2744732,25802859,951586,619744,54638,565106,-,,,,
