StationID,StationName__Zh_tw,StationName__En,StationPosition__PositionLon,StationPosition__PositionLat,LocationCity,LocationCityCode,LocationTown,LocationTownCode,LineType,MLineType,Line_Type,StationType
BL01,頂埔,Dingpu,121.4205,24.96012,新北市,NWT,土城區,65000130,板南線,板南線,板南線,一般車站
BL02,永寧,Yongning,121.43613,24.96682,新北市,NWT,土城區,65000130,板南線,板南線,板南線,一般車站
BL03,土城,Tucheng,121.44432,24.97313,新北市,NWT,土城區,65000130,板南線,板南線,板南線,一般車站
BL04,海山,Haishan,121.44873,24.985305,新北市,NWT,土城區,65000130,板南線,板南線,板南線,一般車站
BL05,亞東醫院,Far Eastern Hospital,121.452465,24.99828,新北市,NWT,板橋區,65000010,板南線,板南線,板南線,一般車站
BL06,府中,Fuzhong,121.459276,25.008465,新北市,NWT,板橋區,65000010,板南線,板南線,板南線,一般車站
BL07,BL板橋,Banqiao,121.462305,25.013825,新北市,NWT,板橋區,65000010,板南線,板南線,板南線,一般車站
BL08,新埔,Xinpu,121.468055,25.02327,新北市,NWT,板橋區,65000010,板南線,板南線,板南線,一般車站
BL09,江子翠,Jiangzicui,121.47257,25.030265,新北市,NWT,板橋區,65000010,板南線,板南線,板南線,一般車站
BL10,龍山寺,Longshan Temple,121.500325,25.03528,臺北市,TPE,萬華區,63000070,板南線,板南線,板南線,一般車站
BL11,西門,Ximen,121.508175,25.042025,臺北市,TPE,中正區,63000050,板南線,板南線,板南線x松山新店線,轉乘站
BL12,台北車站,Taipei Main Station,121.517415,25.04631,臺北市,TPE,中正區,63000050,板南線,板南線,板南線x淡水信義線,轉乘站
BL13,善導寺,Shandao Temple,121.523885,25.04468,臺北市,TPE,中正區,63000050,板南線,板南線,板南線,一般車站
BL14,忠孝新生,Zhongxiao Xinsheng,121.53321,25.042498,臺北市,TPE,大安區,63000030,板南線,板南線,板南線x中和新蘆線,轉乘站
BL15,忠孝復興,Zhongxiao Fuxing,121.545026,25.041749,臺北市,TPE,大安區,63000030,板南線,板南線,板南線x文湖線,轉乘站
BL16,忠孝敦化,Xhongxiao Dunhua,121.55045,25.041505,臺北市,TPE,大安區,63000030,板南線,板南線,板南線,一般車站
BL17,國父紀念館,Sun Yat-Sen Memorial Hall,121.557815,25.04137,臺北市,TPE,信義區,63000020,板南線,板南線,板南線,一般車站
BL18,市政府,Taipei City Hall,121.565685,25.041135,臺北市,TPE,信義區,63000020,板南線,板南線,板南線,一般車站
BL19,永春,Yongchun,121.5762,25.040855,臺北市,TPE,信義區,63000020,板南線,板南線,板南線,一般車站
BL20,後山埤,Houshanpi,121.58227,25.044715,臺北市,TPE,南港區,63000090,板南線,板南線,板南線,一般車站
BL21,昆陽,Kunyang,121.593228,25.050459,臺北市,TPE,南港區,63000090,板南線,板南線,板南線,一般車站
BL22,南港,Nangang,121.60697,25.052035,臺北市,TPE,南港區,63000090,板南線,板南線,板南線,一般車站
BL23,南港展覽館,Taipei Nangang Exhibition Center,121.616861,25.054919,臺北市,TPE,南港區,63000090,板南線,板南線,板南線x文湖線,轉乘站
BR01,動物園,Taipei Zoo,121.579501,24.998205,臺北市,TPE,文山區,63000080,文湖線,文湖線,文湖線,一般車站
BR02,木柵,Muzha,121.573127,24.99824,臺北市,TPE,文山區,63000080,文湖線,文湖線,文湖線,一般車站
BR03,萬芳社區,Wanfang Community,121.568088,24.99857,臺北市,TPE,文山區,63000080,文湖線,文湖線,文湖線,一般車站
BR04,萬芳醫院,Wanfang Hospital,121.558092,24.99932,臺北市,TPE,文山區,63000080,文湖線,文湖線,文湖線,一般車站
BR05,辛亥,Xinhai,121.557046,25.005455,臺北市,TPE,文山區,63000080,文湖線,文湖線,文湖線,一般車站
BR06,麟光,Linguang,121.558834,25.018495,臺北市,TPE,大安區,63000030,文湖線,文湖線,文湖線,一般車站
BR07,六張犁,Liuzhangli,121.55302,25.02381,臺北市,TPE,大安區,63000030,文湖線,文湖線,文湖線,一般車站
BR08,科技大樓,Technology Building,121.543462,25.02612,臺北市,TPE,大安區,63000030,文湖線,文湖線,文湖線,一般車站
BR09,大安,Daan,121.54237,25.033311,臺北市,TPE,大安區,63000030,文湖線,文湖線,文湖線x淡水信義線,轉乘站
BR10,忠孝復興,Zhongxiao Fuxing,121.545026,25.041749,臺北市,TPE,大安區,63000030,文湖線,文湖線,文湖線x板南線,轉乘站
BR11,南京復興,Nanjing Fuxing,121.544303,25.052044,臺北市,TPE,松山區,63000010,文湖線,文湖線,文湖線x松山新店線,轉乘站
BR12,中山國中,Zhongshan Junior High School,121.544215,25.06085,臺北市,TPE,中山區,63000040,文湖線,文湖線,文湖線,一般車站
BR13,松山機場,Songshan Airport,121.55201,25.062908,臺北市,TPE,松山區,63000010,文湖線,文湖線,文湖線,一般車站
BR14,大直,Dazhi,121.54679,25.07943,臺北市,TPE,中山區,63000040,文湖線,文湖線,文湖線,一般車站
BR15,劍南路,Jiannan Rd.,121.555582,25.08483,臺北市,TPE,中山區,63000040,文湖線,文湖線,文湖線,一般車站
BR16,西湖,Xihu,121.567227,25.08216,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR17,港墘,Gangqian,121.57516,25.08007,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR18,文德,Wende,121.584999,25.078455,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR19,內湖,Neihu,121.594363,25.083675,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR20,大湖公園,Dahu Park,121.602214,25.083805,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR21,葫洲,Huzhou,121.607146,25.07271,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR22,東湖,Donghu,121.611535,25.067455,臺北市,TPE,內湖區,63000100,文湖線,文湖線,文湖線,一般車站
BR23,南港軟體園區,Nangang Software Park,121.615,25.05992,臺北市,TPE,南港區,63000090,文湖線,文湖線,文湖線,一般車站
BR24,南港展覽館,Taipei Nangang Exhibition Center,121.616861,25.054919,臺北市,TPE,南港區,63000090,文湖線,文湖線,文湖線x板南線,轉乘站
G01,新店,Xindian,121.53746,24.95761,新北市,NWT,新店區,65000060,松山新店線,松山新店線,松山新店線,一般車站
G02,新店區公所,Xindian District Office,121.5413,24.96744,新北市,NWT,新店區,65000060,松山新店線,松山新店線,松山新店線,一般車站
G03,七張,Qizhang,121.542985,24.97545,新北市,NWT,新店區,65000060,松山新店線（小碧潭線）,松山新店線,松山新店線（小碧潭支線）,轉乘站
G04,大坪林,Dapinglin,121.54134,24.98272,新北市,NWT,新店區,65000060,松山新店線,松山新店線,松山新店線x環狀線,轉乘站
G05,景美,Jingmei,121.540697,24.992824,臺北市,TPE,文山區,63000080,松山新店線,松山新店線,松山新店線,一般車站
G06,萬隆,Wanlong,121.539008,25.001978,臺北市,TPE,文山區,63000080,松山新店線,松山新店線,松山新店線,一般車站
G07,公館,Gongguan,121.534358,25.014781,臺北市,TPE,大安區,63000030,松山新店線,松山新店線,松山新店線,一般車站
G08,台電大樓,Taipower Building,121.528143,25.020733,臺北市,TPE,大安區,63000030,松山新店線,松山新店線,松山新店線,一般車站
G09,古亭,Guting,121.522868,25.026373,臺北市,TPE,中正區,63000050,松山新店線,松山新店線,松山新店線x中和新蘆線,轉乘站
G10,中正紀念堂,Chiang Kai-Shek Memorial Hall,121.518273,25.032767,臺北市,TPE,中正區,63000050,松山新店線,松山新店線,松山新店線x淡水信義線,轉乘站
G11,小南門,Xiaonanmen,121.51088,25.035585,臺北市,TPE,中正區,63000050,松山新店線,松山新店線,松山新店線,一般車站
G12,西門,Ximen,121.508175,25.042025,臺北市,TPE,中正區,63000050,松山新店線,松山新店線,松山新店線x板南線,轉乘站
G13,北門,Beimen,121.510184,25.049554,臺北市,TPE,大同區,63000060,松山新店線,松山新店線,松山新店線,一般車站
G14,中山,Zhongshan,121.520364,25.052621,臺北市,TPE,中山區,63000040,松山新店線,松山新店線,松山新店線x淡水信義線,轉乘站
G15,松江南京,Songjiang Nanjing,121.53285,25.052693,臺北市,TPE,中山區,63000040,松山新店線,松山新店線,松山新店線x中和新蘆線,轉乘站
G16,南京復興,Nanjing Fuxing,121.544303,25.052044,臺北市,TPE,松山區,63000010,松山新店線,松山新店線,松山新店線x文湖線,轉乘站
G17,台北小巨蛋,Taipei Arena,121.552549,25.05152,臺北市,TPE,松山區,63000010,松山新店線,松山新店線,松山新店線,一般車站
G18,南京三民,Nanjing Sanmin,121.56471,25.051588,臺北市,TPE,松山區,63000010,松山新店線,松山新店線,松山新店線,一般車站
G19,松山,Songshan,121.577706,25.050118,臺北市,TPE,松山區,63000010,松山新店線,松山新店線,松山新店線,一般車站
G03A,小碧潭,Xiaobitan,121.53058,24.97188,新北市,NWT,新店區,65000060,松山新店線（小碧潭線）,松山新店線,松山新店線（小碧潭線）,一般車站
O01,南勢角,Nanshijiao,121.509237,24.990065,新北市,NWT,中和區,65000030,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
O02,景安,Jingan,121.505114,24.99392,新北市,NWT,中和區,65000030,中和新蘆線,中和新蘆線,中和新蘆線x環狀線,轉乘站
O03,永安市場,Yongan Market,121.511225,25.002895,新北市,NWT,永和區,65000040,中和新蘆線,中和新蘆線,中和新蘆線,一般車站
